"term","estimate","std.error","statistic","p.value"
"city_dayathens_weekdays",6315.09061077375,1388.53511239174,4.54802370816251,5.43276632399387e-06
"city_dayathens_weekends",6303.53106566887,1388.65271393214,4.53931425937278,5.66191686814906e-06
"city_daybudapest_weekends",3929.67339172125,706.843976888775,5.55946364432218,2.72512019627685e-08
"city_daybudapest_weekdays",3902.35110769949,706.88057311247,5.52052391327863,3.40308057888361e-08
"city_dayvienna_weekdays",3231.8185121282,582.709191916445,5.54619449454577,2.93992522226129e-08
"city_dayvienna_weekends",3230.26798535313,582.79716507451,5.54269680591213,2.9992285987412e-08
"city_dayrome_weekends",2952.53521434873,881.429677236262,3.34971159991624,0.000809784171597337
"city_dayrome_weekdays",2947.68523500212,881.398370960292,3.34432798167143,0.00082565958973142
"city_dayberlin_weekends",1958.88440687424,342.040071097647,5.72706116154153,1.02993861536248e-08
"city_dayberlin_weekdays",1949.04242701527,342.124495503847,5.69688067539542,1.22965025210763e-08
"city_daybarcelona_weekends",429.652941610428,837.810922281234,0.512828050081453,0.608074739358428
"city_daybarcelona_weekdays",411.771664434536,837.79087513094,0.491496955454641,0.623077988219532
"lat",123.211714028539,76.5227515358753,1.61013177853093,0.107377819824515
"bedrooms",86.0154191816913,3.18878180193731,26.9743822325609,1.10487900248437e-158
"city_dayamsterdam_weekends",67.9410312574828,16.0017245274658,4.24585682254852,2.18302692822801e-05
"biz",33.2805902980968,4.18846537329009,7.94577185962373,1.98543351601859e-15
"person_capacity",23.962639711116,1.76448699475381,13.580513646381,6.6229089695509e-42
"multi",9.60044781984104,4.13239391830793,2.32321700438764,0.0201730153901032
"attr_index_norm",6.37045498927847,0.294558501285674,21.6271299639054,4.50013019203766e-103
"cleanliness_rating",5.03832622544896,2.41532715274561,2.08598086587221,0.0369873477630624
"host_is_superhostTrue",1.07487304905057,3.93436342704325,0.273201260885642,0.784700071060939
"guest_satisfaction_overall",0.776010513381954,0.261452270487271,2.96807716351323,0.00299865383859512
"rest_index_norm",-0.183747213632232,0.177364361505566,-1.03598723031214,0.300215028045804
"dist",-1.53304759323782,1.26282244844453,-1.21398506585478,0.224761355845419
"metro_dist",-3.99666546744126,2.50252382009665,-1.59705391626878,0.110262427719338
"room_typePrivate room",-114.36546946963,4.28228402903422,-26.7066520329393,1.28065674381786e-155
"room_typeShared room",-204.184154195175,18.9348057155667,-10.7835357416586,4.52732676348359e-27
"lng",-262.890929428664,40.1930553101859,-6.54070528850891,6.20447859714726e-11
"city_dayparis_weekdays",-403.028852808039,278.481924100759,-1.44723523478032,0.147839720417429
"city_dayparis_weekends",-422.138907209481,278.643708051156,-1.51497735284222,0.129786880370265
"city_daylondon_weekdays",-1409.29965386078,206.104550214087,-6.83779010408502,8.17001208243907e-12
"city_daylondon_weekends",-1410.93275121758,206.122303369817,-6.84512412364295,7.76270471372057e-12
"city_daylisbon_weekends",-2304.00669656451,1143.81264744771,-2.0143217525227,0.0439831538834079
"city_daylisbon_weekdays",-2312.9309439741,1143.89771522079,-2.02197356738986,0.0431864319357264
"(Intercept)",-4954.90756116218,3996.18236913533,-1.2399102702198,0.215016631100909
